DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2020-12-23,Washington Wizards,107.0,Philadelphia 76ers,113.0
2020-12-26,Philadelphia 76ers,109.0,New York Knicks,89.0
2020-12-27,Philadelphia 76ers,94.0,Cleveland Cavaliers,118.0
2020-12-29,Toronto Raptors,,Philadelphia 76ers,
2020-12-31,Philadelphia 76ers,,Orlando Magic,
2021-01-02,Charlotte Hornets,,Philadelphia 76ers,
2021-01-04,Charlotte Hornets,,Philadelphia 76ers,
2021-01-06,Washington Wizards,,Philadelphia 76ers,
2021-01-07,Philadelphia 76ers,,Brooklyn Nets,
2021-01-09,Denver Nuggets,,Philadelphia 76ers,
2021-01-11,Philadelphia 76ers,,Atlanta Hawks,
2021-01-12,Miami Heat,,Philadelphia 76ers,
2021-01-14,Miami Heat,,Philadelphia 76ers,
2021-01-16,Philadelphia 76ers,,Memphis Grizzlies,
2021-01-17,Philadelphia 76ers,,Oklahoma City Thunder,
2021-01-20,Boston Celtics,,Philadelphia 76ers,
2021-01-22,Boston Celtics,,Philadelphia 76ers,
2021-01-23,Philadelphia 76ers,,Detroit Pistons,
2021-01-25,Philadelphia 76ers,,Detroit Pistons,
2021-01-27,Los Angeles Lakers,,Philadelphia 76ers,
2021-01-29,Philadelphia 76ers,,Minnesota Timberwolves,
2021-01-31,Philadelphia 76ers,,Indiana Pacers,
2021-02-03,Philadelphia 76ers,,Charlotte Hornets,
2021-02-04,Portland Trail Blazers,,Philadelphia 76ers,
2021-02-06,Brooklyn Nets,,Philadelphia 76ers,
2021-02-09,Philadelphia 76ers,,Sacramento Kings,
2021-02-11,Philadelphia 76ers,,Portland Trail Blazers,
2021-02-13,Philadelphia 76ers,,Phoenix Suns,
2021-02-15,Philadelphia 76ers,,Utah Jazz,
2021-02-17,Houston Rockets,,Philadelphia 76ers,
2021-02-19,Chicago Bulls,,Philadelphia 76ers,
2021-02-21,Philadelphia 76ers,,Toronto Raptors,
2021-02-23,Philadelphia 76ers,,Toronto Raptors,
2021-02-25,Dallas Mavericks,,Philadelphia 76ers,
2021-02-27,Cleveland Cavaliers,,Philadelphia 76ers,
2021-03-01,Indiana Pacers,,Philadelphia 76ers,
2021-03-03,Utah Jazz,,Philadelphia 76ers,
