Conference,TEAM,W,L,W/L%,GB,PW,PL,PS/G,PA/G
East,Indiana Pacers,3,0,1.0,—,2,1,118.0,106.7
East,Cleveland Cavaliers,3,0,1.0,—,3,0,122.3,109.0
East,Orlando Magic,3,0,1.0,—,2,1,121.0,113.3
East,Atlanta Hawks,2,0,0.667,0.5,3,0,82.0,72.0
East,Philadelphia 76ers,2,1,0.667,1.0,2,1,105.3,104.7
East,Brooklyn Nets,2,1,0.5,1.0,4,0,88.0,75.0
East,Miami Heat,1,1,0.5,1.5,1,1,109.0,105.5
East,Boston Celtics,1,2,0.33299999999999996,2.0,1,2,108.0,117.3
East,Charlotte Hornets,1,2,0.33299999999999996,2.0,1,2,109.0,111.3
East,Milwaukee Bucks,1,2,0.33299999999999996,2.0,2,1,123.0,117.0
East,New York Knicks,1,2,0.33299999999999996,2.0,1,2,108.7,113.3
East,Detroit Pistons,0,2,0.0,2.5,1,2,73.3,79.7
East,Toronto Raptors,0,2,0.0,2.5,0,2,106.5,116.0
East,Chicago Bulls,0,3,0.0,3.0,1,2,112.7,126.0
East,Washington Wizards,0,3,0.0,3.0,1,2,113.3,121.0
West,Los Angeles Clippers,2,1,0.667,—,1,2,103.3,113.7
West,New Orleans Pelicans,2,1,0.667,—,2,1,103.0,101.7
West,Sacramento Kings,2,1,0.667,—,1,2,110.0,113.7
West,San Antonio Spurs,2,1,0.667,—,2,1,115.0,110.3
West,Minnesota Timberwolves,2,1,0.667,—,1,2,106.0,113.0
West,Phoenix Suns,2,1,0.667,—,2,1,108.3,102.7
West,Los Angeles Lakers,2,1,0.5,—,4,0,93.5,80.5
West,Oklahoma City Thunder,1,0,0.5,—,1,1,54.5,53.5
West,Portland Trail Blazers,1,1,0.33299999999999996,0.5,1,2,76.0,82.0
West,Utah Jazz,1,1,0.33299999999999996,0.5,2,1,77.0,72.0
West,Dallas Mavericks,1,2,0.33299999999999996,1.0,2,1,113.7,105.7
West,Golden State Warriors,1,2,0.33299999999999996,1.0,0,3,109.0,130.3
West,Houston Rockets,0,1,0.0,1.0,1,1,63.0,64.0
West,Denver Nuggets,0,2,0.0,1.5,1,2,76.7,81.7
West,Memphis Grizzlies,0,2,0.0,1.5,1,2,77.0,84.3
